payment_id,customer_id,staff_id,rental_id,amount,payment_date
17590,362,2,3197,2.99,35:50.0
17591,362,2,3393,2.99,42:54.0
17592,363,2,1426,4.99,44:51.0
17593,363,2,1569,4.99,47:36.0
17594,363,1,1847,4.99,33:49.0
17595,363,1,2540,4.99,33:15.0
17596,363,2,3281,2.99,37:14.0
17597,364,1,1722,2.99,41:19.0
17598,364,2,2442,2.99,17:45.0
17599,364,2,2606,4.99,19:59.0
17600,364,2,2857,4.99,43:42.0
17601,364,2,2962,3.99,00:22.0
17602,365,1,1303,1.99,24:24.0
17603,365,1,1578,6.99,36:43.0
17604,365,1,1983,4.99,50:40.0
17605,365,1,2525,2.99,16:49.0
17606,365,2,3156,0.99,32:13.0
17607,366,2,1401,1.99,58:49.0
17608,366,2,2214,0.99,13:04.0
17609,367,1,3078,0.99,38:15.0
17610,368,1,1186,0.99,25:12.0
17611,368,1,1513,9.99,21:57.0
17612,368,1,2531,4.99,49:16.0
17613,368,1,2694,4.99,45:48.0
17614,368,1,2744,4.99,49:07.0
17615,368,2,3275,4.99,01:31.0
17616,369,1,1224,0.99,12:52.0
17617,370,2,1190,6.99,33:59.0
17618,371,2,1212,2.99,32:00.0
17619,371,1,1218,1.99,53:11.0
17620,371,1,1573,6.99,00:06.0
17621,371,2,1675,5.99,33:14.0
17622,371,2,2837,0.99,32:17.0
17623,371,1,3176,3.99,00:21.0
17624,371,2,3396,0.99,51:35.0
17625,372,1,2315,2.99,32:06.0
17626,372,1,2959,4.99,36:21.0
17627,372,1,3283,3.99,47:34.0
17628,373,1,1472,6.99,23:22.0
17629,373,1,3161,2.99,49:28.0
17630,374,1,1548,1.99,12:00.0
17631,374,2,2046,1.99,08:17.0
17632,374,2,2487,4.99,01:21.0
17633,374,2,2641,2.99,07:00.0
17634,375,2,1404,2.99,07:20.0
17635,375,1,1499,5.99,26:34.0
17636,375,1,2236,4.99,41:00.0
17637,376,2,1208,0.99,58:30.0
17638,376,1,2779,0.99,47:34.0
17639,377,2,2556,3.99,35:59.0
17640,377,1,3080,1.99,50:59.0
17641,377,2,3086,0.99,11:07.0
17642,377,2,3136,2.99,07:35.0
17643,377,2,3443,4.99,47:27.0
17644,378,2,1623,4.99,17:17.0
17645,378,1,1662,5.99,42:02.0
17646,378,2,2134,7.99,42:11.0
17647,378,2,2713,4.99,51:36.0
17648,379,1,1383,8.99,48:33.0
17649,379,1,2313,5.99,25:12.0
17650,379,1,2926,2.99,06:12.0
17651,380,1,1868,3.99,31:49.0
17652,380,1,1984,2.99,53:55.0
17653,380,1,2018,3.99,04:25.0
17654,380,1,2440,2.99,09:36.0
17655,380,1,2464,4.99,34:32.0
17656,380,2,2998,1.99,58:49.0
17657,380,2,3099,1.99,13:00.0
17658,380,1,3260,4.99,27:40.0
17659,381,1,1402,3.99,59:35.0
17660,381,1,1878,1.99,23:59.0
17661,381,2,2410,2.99,23:35.0
17662,381,1,2418,4.99,43:09.0
17663,381,2,3425,2.99,35:34.0
17664,382,1,2389,0.99,56:14.0
17665,382,1,2468,4.99,52:19.0
17666,382,1,2489,1.99,29:11.0
17667,382,1,2514,2.99,25:11.0
17668,382,2,3125,4.99,00:25.0
17669,383,1,1831,7.99,50:44.0
17670,383,2,2228,2.99,13:17.0
17671,383,1,2252,2.99,33:45.0
17672,383,2,2318,2.99,42:21.0
17673,383,1,2609,7.99,41:39.0
17674,383,1,3091,2.99,31:26.0
17675,384,1,1961,0.99,31:25.0
17676,384,2,2020,0.99,08:17.0
17677,384,1,2378,7.99,26:16.0
17678,384,2,2510,5.99,12:48.0
17679,384,2,2935,3.99,35:51.0
17680,384,1,3088,9.99,24:32.0
17681,384,2,3101,4.99,17:25.0
17682,385,1,1746,2.99,09:46.0
17683,385,1,1937,0.99,45:13.0
17684,385,1,3105,0.99,40:13.0
17685,386,2,1585,3.99,19:40.0
17686,386,1,1608,2.99,57:24.0
17687,386,2,1819,5.99,01:17.0
17688,386,1,2732,0.99,48:06.0
17689,386,1,3351,2.99,50:06.0
17690,387,1,1464,0.99,06:41.0
17691,387,2,1465,0.99,11:35.0
17692,387,1,2068,0.99,40:13.0
17693,387,2,2100,0.99,21:48.0
17694,387,2,2981,5.99,03:44.0
17695,387,2,3378,4.99,19:55.0
17696,388,2,1276,6.99,28:40.0
17697,388,1,2145,0.99,39:03.0
17698,388,1,2537,5.99,20:48.0
17699,388,1,2692,4.99,36:46.0
17700,388,2,3159,7.99,40:17.0
17701,389,1,1763,4.99,19:28.0
17702,389,1,1946,4.99,27:06.0
17703,389,1,2552,3.99,29:56.0
17704,390,2,1539,5.99,39:52.0
17705,390,2,1730,2.99,58:28.0
17706,390,2,1893,2.99,47:04.0
17707,390,1,2330,7.99,09:46.0
17708,390,1,3147,5.99,53:44.0
17709,391,2,1232,0.99,46:37.0
17710,391,2,1931,0.99,20:23.0
17711,391,1,2045,2.99,06:38.0
17712,391,1,2690,2.99,28:29.0
17713,391,2,3163,2.99,50:40.0
17714,392,2,1530,6.99,06:34.0
17715,392,2,1764,2.99,20:21.0
17716,392,2,2289,2.99,58:10.0
17717,392,2,2890,4.99,29:12.0
17718,393,1,1611,6.99,10:02.0
17719,393,2,1915,1.99,56:55.0
17720,393,2,2219,2.99,45:21.0
17721,393,1,2319,4.99,52:49.0
17722,393,2,3001,2.99,18:43.0
17723,394,2,1324,4.99,31:12.0
17724,395,1,1270,0.99,58:49.0
17725,395,1,1562,0.99,14:54.0
17726,395,2,1603,0.99,42:30.0
17727,395,1,3030,4.99,20:26.0
17728,395,1,3310,0.99,33:18.0
17729,395,1,3389,6.99,06:22.0
17730,396,2,1370,1.99,59:32.0
17731,396,2,1385,4.99,56:50.0
17732,396,2,1408,6.99,26:25.0
17733,397,1,1769,5.99,36:15.0
17734,397,2,3027,1.99,18:57.0
17735,398,2,1228,2.99,19:03.0
17736,398,1,2087,6.99,03:37.0
17737,398,2,3141,9.99,24:14.0
17738,399,2,2961,2.99,57:42.0
17739,399,1,3036,5.99,46:58.0
17740,400,2,1364,0.99,33:59.0
17741,400,1,1917,3.99,04:34.0
17742,400,2,1923,6.99,34:37.0
17743,402,2,1194,4.99,53:35.0
17744,402,2,2490,4.99,29:17.0
17745,402,2,2913,2.99,10:54.0
17746,403,2,1221,4.99,03:43.0
17747,403,1,1249,8.99,06:36.0
17748,403,2,2488,3.99,06:53.0
17749,403,1,2927,4.99,10:08.0
17750,403,2,3049,6.99,19:28.0
17751,403,1,3356,5.99,07:12.0
17752,404,2,1506,2.99,48:04.0
17753,404,2,1840,4.99,08:01.0
17754,404,1,2715,4.99,58:02.0
17755,404,1,2951,2.99,51:28.0
17756,405,2,1315,4.99,51:35.0
17757,405,1,1888,0.99,27:03.0
17758,405,2,1953,5.99,03:24.0
17759,405,2,2654,3.99,06:21.0
17760,405,1,3240,4.99,21:44.0
17761,405,1,3253,5.99,54:04.0
17762,406,1,2113,4.99,26:13.0
17763,406,2,2150,3.99,19:03.0
17764,406,1,2241,2.99,00:08.0
17765,406,2,2325,0.99,36:34.0
17766,406,2,2585,0.99,33:30.0
17767,406,1,3186,7.99,32:47.0
17768,406,1,3306,4.99,15:25.0
17769,407,1,1698,2.99,33:09.0
17770,407,2,2597,0.99,22:13.0
17771,408,2,2479,4.99,31:35.0
17772,408,1,2564,2.99,09:37.0
17773,408,2,2728,2.99,32:31.0
17774,409,2,1226,5.99,14:37.0
17775,409,2,2310,8.99,14:26.0
17776,410,1,1514,2.99,26:01.0
17777,410,1,2073,2.99,02:26.0
17778,410,1,2255,4.99,49:39.0
17779,410,2,2400,5.99,39:13.0
17780,410,2,2971,0.99,24:27.0
17781,410,1,3249,4.99,41:46.0
17782,411,1,1985,0.99,00:04.0
17783,411,2,1997,2.99,48:10.0
17784,411,2,2712,0.99,48:40.0
17785,412,1,3292,2.99,27:38.0
17786,413,2,2130,5.99,29:11.0
17787,413,2,2545,4.99,52:03.0
17788,414,1,2246,4.99,22:56.0
17789,414,1,2559,9.99,38:13.0
17790,414,1,3318,5.99,51:32.0
17791,415,2,1867,4.99,30:04.0
17792,415,1,3211,2.99,29:56.0
17793,416,2,1158,2.99,22:00.0
17794,416,1,1343,4.99,55:46.0
17795,416,2,1553,0.99,31:11.0
17796,416,2,1596,2.99,59:25.0
17797,416,2,1771,0.99,40:44.0
17798,417,1,1921,3.99,32:43.0
17799,418,1,2825,2.99,00:46.0
17800,418,2,2943,2.99,11:32.0
17801,418,2,2969,2.99,12:54.0
17802,419,2,2793,2.99,21:04.0
17803,420,2,2672,3.99,10:31.0
17804,420,1,2698,0.99,57:38.0
17805,420,1,2726,0.99,30:47.0
17806,421,1,1693,4.99,08:18.0
17807,421,2,2407,2.99,19:08.0
17808,421,1,3170,4.99,31:21.0
17809,422,1,1846,0.99,31:11.0
17810,422,1,1897,4.99,54:50.0
17811,422,2,2747,2.99,50:34.0
17812,422,1,2778,5.99,46:39.0
17813,423,1,1504,3.99,36:33.0
17814,423,2,1827,0.99,23:07.0
17815,423,1,2600,6.99,35:52.0
17816,423,2,2758,6.99,33:02.0
17817,423,1,3072,8.99,49:58.0
17818,424,2,3044,4.99,07:16.0
17819,424,1,3166,6.99,00:59.0
17820,424,2,3404,0.99,26:19.0
17821,425,1,3276,6.99,04:19.0
17822,426,1,1709,6.99,38:42.0
17823,426,1,1842,7.99,14:26.0
17824,426,1,2204,2.99,40:05.0
17825,426,1,2804,0.99,53:21.0
17826,426,1,3243,0.99,28:38.0
17827,427,1,1342,5.99,54:48.0
17828,427,2,1628,3.99,21:22.0
17829,427,1,1648,5.99,45:34.0
17830,427,1,1857,1.99,41:25.0
17831,427,2,2466,0.99,47:09.0
17832,428,1,1227,3.99,18:30.0
17833,428,2,1471,2.99,21:53.0
17834,428,1,1601,3.99,39:40.0
17835,428,1,2677,2.99,30:26.0
17836,428,2,3377,0.99,19:39.0
17837,429,2,1781,5.99,48:51.0
17838,429,2,1798,2.99,44:42.0
17839,429,2,1916,7.99,58:26.0
17840,429,1,3409,2.99,46:05.0
17841,430,2,1207,0.99,55:35.0
17842,430,1,1274,2.99,21:19.0
17843,430,1,1538,2.99,34:17.0
17844,430,1,1759,6.99,15:04.0
17845,430,2,2892,0.99,35:06.0
17846,430,2,3153,0.99,12:42.0
17847,431,2,1561,2.99,09:57.0
17848,431,1,2096,4.99,01:31.0
17849,431,1,2269,3.99,49:21.0
17850,431,2,2281,4.99,15:56.0
17851,431,2,2761,2.99,50:44.0
17852,431,2,3304,6.99,12:07.0
17853,431,2,3369,8.99,48:58.0
17854,432,2,1180,5.99,07:28.0
17855,432,2,1597,2.99,15:30.0
17856,432,2,3194,4.99,28:24.0
17857,434,1,1225,0.99,14:02.0
17858,434,2,1584,5.99,19:17.0
17859,434,2,2415,7.99,31:09.0
17860,434,1,2430,3.99,20:13.0
17861,434,1,2494,3.99,43:36.0
17862,434,1,3014,2.99,13:47.0
17863,434,2,3037,2.99,56:30.0
17864,435,2,1443,0.99,26:18.0
17865,435,1,2984,0.99,12:11.0
17866,436,1,2291,9.99,05:13.0
17867,437,2,2239,5.99,52:21.0
17868,437,1,2792,2.99,20:52.0
17869,437,2,3265,2.99,51:40.0
17870,438,1,1431,4.99,54:56.0
17871,438,2,1779,0.99,23:38.0
17872,438,2,2206,0.99,43:12.0
17873,438,1,2591,4.99,00:49.0
17874,438,1,3315,4.99,45:31.0
17875,438,2,3368,0.99,47:05.0
17876,439,1,1264,4.99,28:06.0
17877,439,2,1557,0.99,57:02.0
17878,439,2,2097,4.99,08:31.0
17879,439,1,2621,2.99,35:58.0
17880,439,1,2992,2.99,40:18.0
17881,439,1,3294,6.99,31:50.0
17882,441,1,1602,4.99,41:07.0
17883,441,2,2328,4.99,45:48.0
17884,442,1,1251,5.99,27:22.0
17885,442,2,1358,0.99,57:15.0
17886,442,2,1576,8.99,23:06.0
17887,442,1,1774,2.99,56:19.0
17888,443,1,2871,2.99,56:16.0
17889,444,1,1239,0.99,21:28.0
17890,444,2,1397,3.99,53:53.0
17891,444,2,1441,1.99,22:48.0
17892,444,1,2551,4.99,19:31.0
17893,444,2,3301,7.99,00:52.0
17894,444,2,3415,5.99,28:16.0
17895,446,1,2248,4.99,28:15.0
17896,446,2,2335,3.99,28:03.0
17897,446,2,2520,6.99,57:27.0
17898,446,2,2710,0.99,32:23.0
17899,446,1,3060,2.99,15:47.0
17900,446,2,3168,0.99,14:28.0
17901,447,2,1230,0.99,32:36.0
17902,447,2,1890,2.99,34:40.0
17903,447,1,2025,4.99,32:27.0
17904,447,2,2285,4.99,29:21.0
17905,448,1,1313,5.99,47:01.0
17906,448,2,1823,7.99,16:43.0
17907,448,2,2697,0.99,57:35.0
17908,448,2,3225,3.99,45:22.0
17909,448,2,3347,5.99,36:59.0
17910,449,2,1295,4.99,45:47.0
17911,449,1,2348,0.99,44:10.0
17912,449,2,2970,2.99,20:18.0
17913,450,2,1639,4.99,02:06.0
17914,450,1,1739,0.99,38:05.0
17915,450,2,1914,2.99,54:21.0
17916,450,2,2278,0.99,06:24.0
17917,450,1,2501,4.99,38:38.0
17918,450,1,2626,2.99,57:11.0
17919,450,1,3155,4.99,31:05.0
17920,451,1,1202,0.99,36:31.0
17921,451,1,1851,0.99,00:53.0
17922,451,1,1940,6.99,10:49.0
17923,451,1,2671,1.99,01:38.0
17924,451,1,2909,3.99,47:37.0
17925,451,2,2917,0.99,37:02.0
17926,451,1,3316,6.99,48:45.0
17927,452,2,1203,4.99,37:29.0
17928,452,1,1512,5.99,21:30.0
17929,452,1,1794,3.99,37:04.0
17930,452,1,2263,0.99,26:14.0
17931,452,2,2266,4.99,33:29.0
17932,452,1,2504,0.99,48:20.0
17933,452,2,2661,0.99,19:19.0
17934,453,2,2852,5.99,37:17.0
17935,453,1,2853,7.99,38:08.0
17936,453,2,2887,4.99,08:10.0
17937,454,2,1647,4.99,43:25.0
17938,454,2,1844,7.99,22:20.0
17939,454,1,1861,1.99,45:58.0
17940,454,1,1938,4.99,47:03.0
17941,454,2,2048,5.99,23:56.0
17942,454,2,2182,5.99,24:45.0
17943,454,1,2437,2.99,58:53.0
17944,454,2,2666,9.99,45:39.0
17945,454,1,3221,2.99,18:14.0
17946,454,1,3362,4.99,48:21.0
17947,455,2,1382,1.99,46:35.0
17948,455,1,1802,1.99,51:57.0
17949,455,1,1906,2.99,22:02.0
17950,455,2,2356,0.99,27:50.0
17951,456,1,1288,2.99,10:19.0
17952,456,1,1700,0.99,46:50.0
17953,456,2,2103,5.99,41:37.0
17954,456,2,2146,6.99,54:50.0
17955,456,1,2192,4.99,04:14.0
17956,456,1,2404,0.99,02:15.0
17957,456,1,2581,2.99,22:40.0
17958,457,2,1453,4.99,05:06.0
17959,457,2,1727,0.99,50:14.0
17960,457,1,2030,0.99,41:54.0
17961,457,1,2172,7.99,34:43.0
17962,457,1,2670,4.99,58:43.0
17963,457,1,2762,3.99,50:58.0
17964,457,1,2811,0.99,21:57.0
17965,457,2,3115,2.99,27:32.0
17966,457,2,3184,2.99,26:11.0
17967,458,2,2629,5.99,10:39.0
17968,458,2,3322,0.99,11:04.0
17969,459,2,1876,0.99,19:18.0
17970,459,2,1977,2.99,06:49.0
17971,459,2,2075,4.99,09:00.0
17972,459,1,2899,0.99,07:48.0
17973,459,2,3041,4.99,04:11.0
17974,459,2,3045,0.99,10:27.0
17975,459,2,3234,9.99,08:11.0
17976,460,2,1392,0.99,40:54.0
17977,461,2,3127,5.99,08:10.0
17978,461,2,3319,4.99,54:13.0
17979,462,2,1773,5.99,42:10.0
17980,462,2,1926,9.99,52:57.0
17981,462,1,3279,4.99,34:20.0
17982,463,1,1284,2.99,56:00.0
17983,463,2,2527,4.99,38:58.0
17984,463,1,3217,2.99,56:39.0
17985,463,1,3309,4.99,29:16.0
17986,464,2,1277,4.99,29:56.0
17987,464,1,3167,2.99,10:56.0
17988,465,1,1337,2.99,41:09.0
17989,465,1,2079,4.99,18:12.0
17990,465,1,2159,8.99,05:56.0
17991,465,2,2524,0.99,16:38.0
17992,466,2,1808,7.99,28:02.0
17993,466,2,2446,8.99,33:08.0
17994,466,1,3022,3.99,45:47.0
17995,466,2,3237,4.99,16:23.0
17996,466,2,3343,2.99,25:26.0
17997,467,1,1737,8.99,28:11.0
17998,467,2,2121,4.99,07:21.0
17999,467,2,2870,9.99,46:13.0
18000,467,1,3250,6.99,45:03.0
18001,468,2,1229,2.99,21:40.0
18002,468,1,1627,8.99,19:36.0
18003,468,1,1821,2.99,11:16.0
18004,468,1,1975,2.99,00:37.0
18005,468,2,2462,4.99,28:42.0
18006,468,1,2831,0.99,45:33.0
18007,469,2,1399,0.99,58:18.0
18008,469,1,1680,9.99,45:49.0
18009,470,2,1256,0.99,42:24.0
18010,470,1,1283,0.99,55:57.0
18011,470,2,1594,7.99,43:39.0
18012,471,1,1447,4.99,42:18.0
18013,471,2,1449,2.99,47:43.0
18014,471,2,2165,2.99,19:37.0
18015,471,2,2350,4.99,53:56.0
18016,471,2,3073,4.99,01:53.0
18017,472,1,1389,4.99,17:28.0
18018,472,2,1776,6.99,15:25.0
18019,472,1,2538,5.99,25:26.0
18020,472,1,2974,0.99,28:51.0
18021,472,1,2991,4.99,39:10.0
18022,472,1,3254,0.99,55:37.0
18023,473,2,1748,0.99,22:30.0
18024,473,1,2125,2.99,22:09.0
18025,473,2,2553,4.99,33:26.0
18026,473,2,2748,4.99,50:53.0
18027,474,1,1758,8.99,08:06.0
18028,474,2,2944,7.99,12:09.0
18029,476,1,1682,3.99,22:52.0
18030,476,1,2080,0.99,28:07.0
18031,476,2,2508,4.99,12:25.0
18032,476,2,3448,2.99,27:47.0
18033,477,1,1714,6.99,58:26.0
18034,477,1,2187,2.99,45:54.0
18035,477,1,2306,10.99,01:50.0
18036,477,2,2676,4.99,23:24.0
18037,478,1,1708,0.99,37:11.0
18038,478,2,2358,4.99,29:18.0
18039,478,1,2529,6.99,46:54.0
18040,478,2,2616,8.99,01:27.0
18041,478,2,2765,4.99,03:06.0
18042,478,2,3259,4.99,25:42.0
18043,479,1,1902,2.99,04:19.0
18044,479,2,1947,3.99,30:47.0
18045,479,2,1987,2.99,09:03.0
18046,479,2,2071,3.99,01:44.0
18047,479,2,2376,2.99,23:57.0
18048,479,2,2764,6.99,55:52.0
18049,480,1,1353,0.99,42:03.0
18050,480,1,1733,0.99,05:34.0
18051,481,2,1168,2.99,03:36.0
18052,481,2,2296,4.99,39:09.0
18053,481,2,3285,4.99,58:40.0
18054,481,2,3293,0.99,28:00.0
18055,482,2,3048,2.99,18:22.0
18056,482,2,3255,0.99,08:19.0
18057,483,1,2855,4.99,40:16.0
18058,483,2,2867,0.99,37:05.0
18059,483,1,3380,8.99,27:13.0
18060,484,1,1351,3.99,19:30.0
18061,484,2,1643,3.99,24:02.0
18062,484,1,2015,4.99,44:56.0
18063,484,1,2044,5.99,06:24.0
18064,485,2,1684,2.99,26:01.0
18065,485,1,1721,8.99,30:03.0
18066,486,1,2036,4.99,15:19.0
18067,486,1,2102,5.99,33:49.0
18068,486,2,2566,2.99,14:06.0
18069,486,2,2797,2.99,32:59.0
18070,487,2,3100,3.99,16:24.0
18071,488,2,1655,3.99,20:06.0
18072,488,2,1704,5.99,14:23.0
18073,489,2,1614,3.99,26:29.0
18074,489,1,2201,0.99,36:54.0
18075,489,1,2370,7.99,58:21.0
18076,489,1,2802,4.99,46:44.0
18077,490,1,1665,3.99,44:29.0
18078,491,2,1198,2.99,17:25.0
18079,491,1,1371,4.99,06:42.0
18080,491,2,2026,4.99,34:05.0
18081,491,1,2259,4.99,06:12.0
18082,491,2,2391,4.99,01:57.0
18083,491,2,3031,4.99,21:16.0
18084,491,1,3440,3.99,26:45.0
18085,492,2,1691,1.99,52:55.0
18086,492,2,1855,4.99,23:25.0
18087,492,2,1956,4.99,11:59.0
18088,492,1,3298,9.99,38:11.0
18089,493,2,2109,3.99,10:09.0
18090,493,1,2365,4.99,14:01.0
18091,493,1,2579,0.99,09:11.0
18092,493,1,2864,2.99,29:19.0
18093,494,1,1683,2.99,23:22.0
18094,495,2,2074,2.99,08:30.0
18095,495,1,2349,4.99,53:41.0
18096,495,1,2549,7.99,15:06.0
18097,495,1,3129,3.99,26:15.0
18098,496,1,2567,2.99,33:13.0
18099,497,2,2180,8.99,16:10.0
18100,497,1,2298,5.99,46:56.0
18101,497,1,2406,2.99,08:04.0
18102,497,2,2818,4.99,34:19.0
18103,498,1,1253,6.99,35:00.0
18104,498,1,1782,2.99,49:39.0
18105,498,1,2344,2.99,30:14.0
18106,498,1,2449,4.99,47:03.0
18107,498,1,3098,0.99,05:28.0
18108,498,2,3360,0.99,41:08.0
18109,499,1,1355,2.99,42:26.0
18110,499,2,1526,4.99,56:18.0
18111,499,2,1830,4.99,47:10.0
18112,499,2,3241,1.99,22:59.0
18113,500,1,1375,5.99,23:23.0
18114,500,2,1388,5.99,17:08.0
18115,500,2,2189,3.99,48:53.0
18116,500,2,2526,6.99,31:34.0
18117,500,1,2996,2.99,48:56.0
18118,501,2,3222,5.99,18:56.0
18119,501,1,3412,7.99,12:58.0
18120,502,2,1696,7.99,18:28.0
18121,502,2,2420,0.99,50:55.0
18122,502,1,2911,0.99,01:04.0
18123,503,2,2108,4.99,03:53.0
18124,503,1,2225,2.99,04:07.0
18125,503,2,3430,0.99,14:35.0
18126,504,1,2720,1.99,20:22.0
18127,504,1,2938,6.99,45:49.0
18128,505,2,1799,5.99,45:47.0
18129,505,2,1886,4.99,04:29.0
18130,505,1,2773,7.99,32:45.0
18131,505,1,3137,5.99,09:55.0
18132,506,1,1446,6.99,42:12.0
18133,506,1,1467,2.99,15:37.0
18134,506,2,1565,0.99,41:36.0
18135,506,1,2755,9.99,24:58.0
18136,506,2,2824,6.99,00:12.0
18137,507,2,1307,4.99,34:42.0
18138,507,1,2143,4.99,26:40.0
18139,507,2,2283,4.99,24:33.0
18140,508,2,1661,4.99,41:24.0
18141,509,1,1267,2.99,49:48.0
18142,509,2,2919,4.99,38:43.0
18143,510,2,1435,5.99,00:57.0
18144,510,2,1757,0.99,00:51.0
18145,510,2,1925,0.99,45:14.0
18146,510,1,2729,8.99,34:42.0
18147,510,2,2806,0.99,59:15.0
18148,510,2,2817,0.99,33:49.0
18149,510,2,3352,8.99,54:56.0
18150,510,2,3465,5.99,38:28.0
18151,511,2,1281,2.99,50:06.0
18152,511,1,1508,2.99,01:51.0
18153,511,2,2966,10.99,08:00.0
18154,511,2,3366,4.99,32:04.0
18155,512,1,1176,6.99,57:04.0
18156,512,2,2029,4.99,39:26.0
18157,512,1,2364,2.99,05:59.0
18158,513,1,1607,2.99,54:02.0
18159,513,2,2290,7.99,03:04.0
18160,513,2,2737,1.99,17:00.0
18161,514,2,1692,4.99,58:46.0
18162,514,1,2002,3.99,08:25.0
18163,514,2,2362,0.99,59:42.0
18164,514,1,2789,0.99,16:48.0
18165,514,2,3084,2.99,03:51.0
18166,514,1,3385,0.99,45:15.0
18167,515,1,1244,4.99,37:07.0
18168,515,2,1531,5.99,09:01.0
18169,515,2,2003,4.99,09:02.0
18170,515,2,2484,4.99,53:50.0
18171,515,2,2513,0.99,21:42.0
18172,515,2,3063,3.99,20:30.0
18173,516,2,1159,4.99,23:40.0
18174,516,1,1200,1.99,28:18.0
18175,516,1,1718,10.99,20:29.0
18176,516,1,2017,0.99,01:57.0
18177,516,2,3068,0.99,30:49.0
18178,516,1,3431,2.99,15:15.0
18179,517,2,1653,4.99,03:12.0
18180,517,1,1809,8.99,28:47.0
18181,517,1,1850,4.99,00:02.0
18182,517,2,2534,2.99,07:06.0
18183,517,1,3113,0.99,25:07.0
18184,518,2,1552,5.99,30:04.0
18185,518,2,3311,0.99,33:54.0
18186,519,1,1941,2.99,11:12.0
18187,519,2,2505,8.99,56:54.0
18188,519,2,2997,5.99,52:12.0
18189,520,1,1411,0.99,34:03.0
18190,520,2,2174,6.99,37:28.0
18191,520,1,2772,4.99,27:54.0
18192,521,1,1761,0.99,18:24.0
18193,521,2,2053,0.99,48:01.0
18194,522,1,1289,3.99,12:36.0
18195,522,2,3102,8.99,24:22.0
18196,522,1,3188,2.99,38:54.0
18197,522,2,3191,0.99,15:06.0
18198,523,2,1729,6.99,58:14.0
18199,523,1,2447,8.99,39:22.0
